MOQ,MOQ LIMITED
ARL,ARDEA RESOURCES LIMITED
AAD,ARDENT LEISURE GROUP
ADV,ARDIDEN LTD
ARF,ARENA REIT.
ARD,ARGENT MINERALS LIMITED
AXT,ARGO EXPLORATION LIMITED
ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED
ARG,ARGO INVESTMENTS LIMITED
ARE,ARGONAUT RESOURCES NL
AGY,ARGOSY MINERALS LIMITED
ARA,ARIADNE AUSTRALIA LIMITED
ALL,ARISTOCRAT LEISURE LIMITED
AHK,ARK MINES LIMITED
AJQ,ARMOUR ENERGY LIMITED
AWN,AROWANA INTERNATIONAL LIMITED
AMD,ARROW MINERALS LTD
AR1,ARROWHEAD RESOURCES LIMITED
ARV,ARTEMIS RESOURCES LIMITED
AAJ,ARUMA RESOURCES LIMITED
AHY,ASALEO CARE LIMITED
AJY,ASAPLUS RESOURCES LIMITED
AFA,ASF GROUP LIMITED
ASH,ASHLEY SERVICES GROUP LIMITED
AJD,ASIA PACIFIC DATA CENTRE GROUP
DIG,ASIA PACIFIC DIGITAL LIMITED
AJJ,ASIAN AMERICAN MEDICAL GROUP LIMITED
ATB,ASIAN DEVELOPMENT BANK
AUF,ASIAN MASTERS FUND LIMITED
AM3,ASIAN MINERAL RESOURCES LIMITED
AKF,ASK FUNDING LIMITED
APZ,ASPEN GROUP
ASP,ASPERMONT LIMITED.
AKM,ASPIRE MINING LIMITED
ASY,ASSEMBLEBAY LIMITED
AO1,ASSETOWL LIMITED
AIR,ASTIVITA LIMITED
ARO,ASTRO RESOURCES NL
ATR,ASTRON CORPORATION LIMITED
ASX,ASX LIMITED
ATA,ATC ALLOYS LTD
ACG,ATCOR MEDICAL HOLDINGS LIMITED
AHN,ATHENA RESOURCES LIMITED
AGO,ATLAS IRON LIMITED
ATP,ATLAS PEARLS LTD
ATU,ATRUM COAL LIMITED
AUB,AUB GROUP LIMITED
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED
AVC,AUCTUS ALTERNATIVE INVESTMENTS LIMITED
ACP,AUDALIA RESOURCES LIMITED
AD8,AUDINATE GROUP LIMITED
